Remodel date of property,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),OverallCond,Original construction date,Type of Roof,Material used in Roof,Exterior Covering on the House,Masonry veneer type,Masonry veneer area in square feet,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Month and Year of sold,YrSold,Type of Sale,Condition of Sale,Sale Price,PricePerSqFt,Age of Property when sold(in years),TotalBathroom,living_to_lot_ratio,cluster
2003.0,2-STORY 1946 & NEWER,Residential Low-Density,65.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,5.0,2003.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,706.0,Unfinished,0.0,150.0,856.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,856.0,854.0,1710.0,2.0,1.0,3.0,1.0,Good,8.0,1.0,No Fireplace,Attached to the home,2005.0,Rough Finished,2.0,548.0,Typical/Average,Typical/Average,Paved,0.0,61.0,0.0,0.0,0.0,February 2008,2008.0,Warranty Deed - Conventional,Normal Sale,208500.0,121.9298245614035,5.0,3.0,0.1801706880202297,2
1976.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Veenker,Adjacent to feeder street & Normal,Above Average,5.575342465753424,1976.0,Gable,Standard (Composite) Shingle,Metal Siding,None,180.73137335812217,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,978.0,Unfinished,0.0,284.0,1262.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262.0,0.0,1262.0,2.0,0.0,3.0,1.0,Average/Typical,6.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Rough Finished,2.0,460.0,Typical/Average,Typical/Average,Paved,298.0,0.0,0.0,0.0,0.0,May 2007,2007.0,Warranty Deed - Conventional,Normal Sale,181500.0,143.81933438985737,31.0,2.0,0.13296807501843852,0
2002.0,2-STORY 1946 & NEWER,Residential Low-Density,68.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Good,5.0,2001.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living Quarters,486.0,Unfinished,0.0,434.0,920.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,920.0,866.0,1786.0,2.0,1.0,3.0,1.0,Good,6.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Rough Finished,2.0,608.0,Typical/Average,Typical/Average,Paved,0.0,42.0,0.0,0.0,0.0,September 2008,2008.0,Warranty Deed - Conventional,Normal Sale,223500.0,125.13997760358343,7.0,3.0,0.18817827415446212,2
1970.0,2-STORY 1945 & OLDER,Residential Low-Density,60.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Crawford,Normal,Good,5.0,1915.0,Gable,Standard (Composite) Shingle,Wood Siding & Wood Shingles,None,180.73137335812217,Average/Typical,Average/Typical,Brick & Tile,Good (90-99 inches),Good,No Exposure,Average Living Quarters,216.0,Unfinished,0.0,540.0,756.0,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,961.0,756.0,1717.0,1.0,0.0,3.0,1.0,Good,7.0,1.0,Good - Masonry Fireplace on the main level,Detached from home,2005.0,Unfinished,3.0,642.0,Typical/Average,Typical/Average,Paved,0.0,35.0,0.0,0.0,0.0,February 2006,2006.0,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",140000.0,81.537565521258,91.0,1.0,0.18090822884838267,1
2000.0,2-STORY 1946 & NEWER,Residential Low-Density,84.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Northridge,Normal,Very Good,5.0,2000.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,655.0,Unfinished,0.0,490.0,1145.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1145.0,1053.0,2198.0,2.0,1.0,4.0,1.0,Good,9.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Rough Finished,3.0,836.0,Typical/Average,Typical/Average,Paved,192.0,84.0,0.0,0.0,0.0,December 2008,2008.0,Warranty Deed - Conventional,Normal Sale,250000.0,113.73976342129208,8.0,3.0,0.23158782004003792,2
1995.0,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,85.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,Normal,Average,5.0,1993.0,Gable,Standard (Composite) Shingle,Vinyl Siding,None,180.73137335812217,Average/Typical,Average/Typical,Wood,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,732.0,Unfinished,0.0,64.0,796.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,796.0,566.0,1362.0,1.0,1.0,1.0,1.0,Average/Typical,5.0,1.0,No Fireplace,Attached to the home,2005.0,Unfinished,2.0,480.0,Typical/Average,Typical/Average,Paved,40.0,30.0,0.0,0.0,0.0,October 2009,2009.0,Warranty Deed - Conventional,Normal Sale,143000.0,104.99265785609398,16.0,2.0,0.1435043725634812,1
2005.0,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Very Good,5.0,2004.0,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,210.6894270193207,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,1369.0,Unfinished,0.0,317.0,1686.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694.0,0.0,1694.0,2.0,0.0,3.0,1.0,Good,7.0,1.0,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Rough Finished,2.0,636.0,Typical/Average,Typical/Average,Paved,255.0,57.0,0.0,0.0,0.0,August 2007,2007.0,Warranty Deed - Conventional,Normal Sale,305313.125,180.23206906729635,3.0,2.0,0.17848488041302285,0
1973.0,2-STORY 1946 & NEWER,Residential Low-Density,0.0,9491.0,Paved,None,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc & Normal",Good,6.0,1973.0,Gable,Standard (Composite) Shingle,Hard Board,Stone,210.6894270193207,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,859.0,Below Average Living Quarters,0.0,216.0,1107.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1107.0,983.0,2090.0,2.0,1.0,3.0,1.0,Average/Typical,7.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Rough Finished,2.0,484.0,Typical/Average,Typical/Average,Paved,235.0,46.66027397260274,0.0,0.0,0.0,November 2009,2009.0,Warranty Deed - Conventional,Normal Sale,200000.0,95.69377990430623,36.0,3.0,0.22020861869139186,2
1950.0,1-1/2 STORY FINISHED ALL AGES,Residential Medium-Density,51.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to arterial street & Normal,Good,5.0,1931.0,Gable,Standard (Composite) Shingle,Brick Face & Wood Shingles,None,180.73137335812217,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0.0,Unfinished,0.0,952.0,952.0,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1022.0,752.0,1774.0,2.0,0.0,2.0,1.0,Average/Typical,8.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,2005.0,Unfinished,2.0,468.0,Fair,Typical/Average,Paved,90.0,0.0,0.0,0.0,0.0,April 2008,2008.0,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129900.0,73.22435174746336,77.0,2.0,0.186913918449057,1
1950.0,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,50.0,9491.0,Paved,None,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,Adjacent to arterial street,Average,6.0,1939.0,Gable,Standard (Composite) Shingle,Metal Siding,None,180.73137335812217,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,851.0,Unfinished,0.0,140.0,991.0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077.0,0.0,1077.0,1.0,0.0,2.0,1.0,Average/Typical,5.0,1.0,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2005.0,Rough Finished,1.0,205.0,Good,Typical/Average,Paved,0.0,4.0,0.0,0.0,0.0,January 2008,2008.0,Warranty Deed - Conventional,Normal Sale,118000.0,109.5636025998143,69.0,1.0,0.11347592456010958,1
